site,lat,long
Aven,36.06218,-120.1018
Mov,36.5628,-120.546
SiCr,36.5857,-120.6883
PaPl,36.7001,-120.8019
CaS,35.11921,-119.6297
CaSl,35.0906,-119.5772
SemiT,35.6592,-119.6072
Lok,35.3543,-119.584
Coal,36.213,-120.304
